"Reference","Taxon","Ecological_metric","Study_year","Time_restored","RR"
"Bowman_et_al_1990","Invertebrates","Abundance",1987,26,"-0.664976304"
"Bowman_et_al_1990","Invertebrates","Abundance",1987,26,"-0.664976304"
"Bowman_et_al_1990","Invertebrates","Abundance",1987,4,"-0.693147181"
"Bowman_et_al_1990","Invertebrates","Abundance",1987,4,"-0.693147181"
"Bowman_et_al_1990","Invertebrates","Richness",1987,8,"-0.356674944"
"Bowman_et_al_1990","Invertebrates","Richness",1987,8,"-0.356674944"
"Bowman_et_al_1990","Invertebrates","Richness",1987,26,"-0.456758402"
"Bowman_et_al_1990","Invertebrates","Richness",1987,26,"-0.456758402"
"Bowman_et_al_1990","Invertebrates","Richness",1987,4,"-1.003302109"
"Bowman_et_al_1990","Invertebrates","Richness",1987,4,"-1.003302109"
"Bustos_&_Ulloa-chacon_1997","Invertebrates","Abundance",1993,10,"0.155889694"
"Bustos_&_Ulloa-chacon_1997","Invertebrates","Abundance",1993,25,"-0.251180551"
"Bustos_&_Ulloa-chacon_1997","Invertebrates","Diversity",1993,25,"-0.018349139"
"Bustos_&_Ulloa-chacon_1997","Invertebrates","Diversity",1993,10,"-1.543479945"
"Bustos_&_Ulloa-chacon_1997","Invertebrates","Richness",1993,25,"-0.165896677"
"Bustos_&_Ulloa-chacon_1997","Invertebrates","Richness",1993,10,"-0.961901243"
"Castillo-Campos_et_al_2008","Plant","Richness",2000,10,"0.232725152"
"Castillo-Campos_et_al_2008","Plant","Richness",2000,10,"0.169418152"
"Castillo-Campos_et_al_2008","Plant","Richness",2000,10,"0.124270547"
"Castillo-Campos_et_al_2008","Plant","Richness",2000,10,"0.185013324"
"Castro-Luna_et_al_2007","Mammals","Abundance",2002,30,"0.348686129"
"Castro-Luna_et_al_2007","Mammals","Abundance",2002,3,"0.241469229"
"Castro-Luna_et_al_2007","Mammals","Abundance",2002,8,"0.164237881"
"Castro-Luna_et_al_2007","Mammals","Diversity",2002,30,"-0.094602466"
"Castro-Luna_et_al_2007","Mammals","Diversity",2002,3,"-0.171407877"
"Castro-Luna_et_al_2007","Mammals","Diversity",2002,8,"-0.603484454"
"Castro-Luna_et_al_2007","Mammals","Richness",2002,30,0
"Castro-Luna_et_al_2007","Mammals","Richness",2002,3,"-0.083381609"
"Castro-Luna_et_al_2007","Mammals","Richness",2002,8,"-0.446287103"
"Chazdon_&_Coe_1999","Plant","Abundance",1996,186,"0.324239668"
"Chazdon_&_Coe_1999","Plant","Abundance",1996,15,"0.145711811"
"Chazdon_&_Coe_1999","Plant","Abundance",1996,15,"0.157185584"
"Chazdon_&_Coe_1999","Plant","Abundance",1996,186,"0.038466281"
"Chazdon_&_Coe_1999","Plant","Abundance",1996,186,"0.336472237"
"Chazdon_&_Coe_1999","Plant","Abundance",1996,15,"0.082238098"
"Chazdon_&_Coe_1999","Plant","Abundance",1996,186,"0.538996501"
"Chazdon_&_Coe_1999","Plant","Abundance",1996,15,"0.174353387"
"Chazdon_&_Coe_1999","Plant","Abundance",1996,15,"0.139761942"
"Chazdon_&_Coe_1999","Plant","Abundance",1996,186,"-0.162518929"
"Chazdon_&_Coe_1999","Plant","Abundance",1996,186,"0.485507816"
"Chazdon_&_Coe_1999","Plant","Abundance",1996,15,"0.223143551"
"Clarke_et_al_2005","Mammals","Abundance",2002,6,"0.54612030600000006"
"Clarke_et_al_2005","Mammals","Abundance",2002,6,"0.25261872"
"Clarke_et_al_2005","Mammals","Abundance",2002,6,"-0.491120553"
"Clarke_et_al_2005","Mammals","Abundance",2002,6,"-1.053491853"
"Clarke_et_al_2005","Mammals","Abundance",2002,6,"-0.230416311"
"Clarke_et_al_2005","Mammals","Abundance",2002,6,"0.374693449"
"Clarke_et_al_2005","Mammals","Abundance",2002,6,"0.287682072"
"Clarke_et_al_2005","Mammals","Abundance",2002,6,"0.858661619"
"Clarke_et_al_2005","Mammals","Abundance",2002,6,"-1.462834438"
"Clarke_et_al_2005","Mammals","Abundance",2002,6,"0.064538521"
"Clarke_et_al_2005","Mammals","Abundance",2002,6,"-1.609437912"
"Clarke_et_al_2005","Mammals","Diversity",2002,6,"-0.101115667"
"Clarke_et_al_2005","Mammals","Richness",2002,6,"0.030636969"
"Clarke_et_al_2005","Mammals","Similarity",2002,6,"4.37854837"
"Dranzoa_1998","Birds","Abundance",1996,23,"0.634269013"
"Dranzoa_1998","Birds","Diversity",1996,23,"0.16745795"
"Dranzoa_1998","Birds","Richness",1996,23,"0.259957524"
"Fukushima_et_al_2008","Plant","Abundance",2006,245,"0.442188941"
"Fukushima_et_al_2008","Plant","Abundance",2006,395,"-0.06171624"
"Fukushima_et_al_2008","Plant","Diversity",2006,395,"-0.166985217"
"Fukushima_et_al_2008","Plant","Diversity",2006,245,"-0.329135579"
"Fukushima_et_al_2008","Plant","Richness",2006,245,"-0.061991676"
"Fukushima_et_al_2008","Plant","Richness",2006,395,"-0.115735952"
"Fukushima_et_al_2008","Plant","Similarity",2006,395,"0.035519585"
"Fukushima_et_al_2008","Plant","Similarity",2006,245,"-0.170984117"
"Fukushima_et_al_2008","Plant","Similarity",2006,395,"-0.096046244"
"Fukushima_et_al_2008","Plant","Similarity",2006,245,"-0.169320631"
"Fukushima_et_al_2008","Plant","Similarity",2006,395,"-0.210001049"
"Fukushima_et_al_2008","Plant","Similarity",2006,245,"-0.576112368"
"Glor_et_al_2001","Herpetofauna","Abundance",1997,75,"1.345286337"
"Glor_et_al_2001","Herpetofauna","Abundance",1997,80,"1.018073426"
"Glor_et_al_2001","Herpetofauna","Abundance",1997,4,"0.762140052"
"Glor_et_al_2001","Herpetofauna","Diversity",1997,80,"0.498991166"
"Glor_et_al_2001","Herpetofauna","Diversity",1997,75,"0.051587369"
"Glor_et_al_2001","Herpetofauna","Diversity",1997,4,"-0.223143551"
"Glor_et_al_2001","Herpetofauna","Richness",1997,75,"0.287682072"
"Glor_et_al_2001","Herpetofauna","Richness",1997,80,"0.287682072"
"Glor_et_al_2001","Herpetofauna","Richness",1997,4,"0.080042708"
"Gove_et_al_2005","Invertebrates","Abundance",2002,15,"0.41925843"
"Gove_et_al_2005","Invertebrates","Abundance",2002,15,"0.007490672"
"Gove_et_al_2005","Invertebrates","Richness",2002,15,"-0.019628729"
"Gove_et_al_2005","Invertebrates","Richness",2002,15,"0.15415068"
"Gove_et_al_2005","Invertebrates","Richness",2002,15,"-0.009058465"
"Gove_et_al_2005","Invertebrates","Richness",2002,15,"0.260740818"
"Gove_et_al_2005","Invertebrates","Richness",2002,15,"0.242946179"
"Gove_et_al_2005","Invertebrates","Richness",2002,15,"0.212561442"
"Gove_et_al_2005","Invertebrates","Richness",2002,15,"0.336284988"
"Gove_et_al_2005","Invertebrates","Richness",2002,15,"0.32041822"
"Gove_et_al_2005","Invertebrates","Richness",2002,15,"0.103734379"
"Gove_et_al_2005","Invertebrates","Richness",2002,15,"0.387765531"
"Gove_et_al_2005","Invertebrates","Similarity",2002,15,"-3.327431231"
"Gove_et_al_2005","Invertebrates","Similarity",2002,15,"-2.243744593"
"Heinen_1992","Herpetofauna","Abundance",1990,5,"0.959775844"
"Heinen_1992","Herpetofauna","Abundance",1990,5,"0.405465108"
"Heinen_1992","Herpetofauna","Abundance",1990,25,"0.955511445"
"Heinen_1992","Herpetofauna","Abundance",1990,25,"0.667829373"
"Heinen_1992","Herpetofauna","Diversity",1990,5,"-0.52639014"
"Heinen_1992","Herpetofauna","Diversity",1990,25,"0.050261835"
"Heinen_1992","Herpetofauna","Diversity",1990,5,"-0.83387484"
"Heinen_1992","Herpetofauna","Diversity",1990,25,"-0.257222865"
"Heinen_1992","Herpetofauna","Richness",1990,5,"-0.241162057"
"Heinen_1992","Herpetofauna","Richness",1990,5,"-0.336472237"
"Heinen_1992","Herpetofauna","Richness",1990,25,"0.287682072"
"Heinen_1992","Herpetofauna","Richness",1990,25,"0.15415068"
"Howorth_&_Pendry_2006","Plant","Diversity",1999,35,"-0.210614022"
"Howorth_&_Pendry_2006","Plant","Richness",1999,35,"-0.379197181"
"Lambert_et_al_2005","Invertebrates","Abundance",2003,8,"0.192371893"
"Lambert_et_al_2005","Invertebrates","Abundance",2003,8,"0.192371893"
"Lambert_et_al_2005","Mammals","Abundance",2003,8,"0.204758137"
"Lambert_et_al_2005","Mammals","Abundance",2003,8,"0.204758137"
"Lambert_et_al_2005","Mammals","Abundance",2003,8,"0.429205095"
"Lambert_et_al_2005","Mammals","Abundance",2003,8,"0.429205095"
"Lambert_et_al_2005","Plant","Abundance",2003,8,"0.328371168"
"Lambert_et_al_2005","Plant","Abundance",2003,8,"0.328371168"
"Lambert_et_al_2005","Plant","Abundance",2003,8,"-0.12857922"
"Lambert_et_al_2005","Plant","Abundance",2003,8,"-0.12857922"
"Lambert_et_al_2005","Plant","Abundance",2003,8,"0.555525803"
"Lambert_et_al_2005","Plant","Abundance",2003,8,"0.555525803"
"Lambert_et_al_2005","Plant","Abundance",2003,8,"0.421832086"
"Lambert_et_al_2005","Plant","Abundance",2003,8,"0.421832086"
"Lawton_et_al_1998","Birds","Richness",1994,40,0
"Lawton_et_al_1998","Invertebrates","Richness",1994,40,"0.040273899"
"Lawton_et_al_1998","Invertebrates","Richness",1994,3,"0.101096117"
"Lawton_et_al_1998","Invertebrates","Richness",1994,40,"0.510825624"
"Letcher_&_Chazdon_2009","Plant","Richness",2006,30,"0.03509132"
"Letcher_&_Chazdon_2009","Plant","Richness",2006,25,"-0.336472237"
"Letcher_&_Chazdon_2009","Plant","Richness",2006,18,"-0.387765531"
"Letcher_&_Chazdon_2009","Plant","Richness",2006,15,"-0.498991166"
"Letcher_&_Chazdon_2009","Plant","Richness",2006,30,"-0.057158414"
"Letcher_&_Chazdon_2009","Plant","Richness",2006,25,"-0.405465108"
"Letcher_&_Chazdon_2009","Plant","Richness",2006,18,"-0.492476485"
"Letcher_&_Chazdon_2009","Plant","Richness",2006,15,"-0.587786665"
"Li_et_al_2011","Plant","Richness",2006,57,"-0.044451763"
"Li_et_al_2011","Plant","Richness",2006,50,"-0.16507975"
"Li_et_al_2011","Plant","Richness",2006,100,"-0.394654192"
"Lieberman_1986","Herpetofauna","Abundance",1984,20,"0.433038435"
"Lieberman_1986","Herpetofauna","Diversity",1984,20,"-0.422400776"
"Lieberman_1986","Herpetofauna","Richness",1984,20,"-0.247836164"
"Liow_et_al_2001","Invertebrates","Abundance",1999,70,"-0.241240414"
"Liow_et_al_2001","Invertebrates","Abundance",1999,30,"-1.243392437"
"Liow_et_al_2001","Invertebrates","Abundance",1999,70,"-0.226860736"
"Liow_et_al_2001","Invertebrates","Abundance",1999,30,"-0.778639493"
"Liow_et_al_2001","Invertebrates","Diversity",1999,70,"-0.134264727"
"Liow_et_al_2001","Invertebrates","Diversity",1999,30,"-1.44619185"
"Liow_et_al_2001","Invertebrates","Diversity",1999,30,"0.74470499"
"Liow_et_al_2001","Invertebrates","Diversity",1999,30,"0.462623522"
"Liow_et_al_2001","Invertebrates","Diversity",1999,70,"0.291642474"
"Liow_et_al_2001","Invertebrates","Diversity",1999,70,"0.708171767"
"Liow_et_al_2001","Invertebrates","Diversity",1999,70,"0.162518929"
"Liow_et_al_2001","Invertebrates","Diversity",1999,30,"0.544103651"
"Liow_et_al_2001","Invertebrates","Diversity",1999,30,"0.411734721"
"Liow_et_al_2001","Invertebrates","Diversity",1999,70,"0.063948725"
"Liow_et_al_2001","Invertebrates","Diversity",1999,70,"0.785262469"
"Liow_et_al_2001","Invertebrates","Diversity",1999,30,"0.716269598"
"Liow_et_al_2001","Invertebrates","Diversity",1999,70,"0.528217366"
"Liow_et_al_2001","Invertebrates","Diversity",1999,30,"0.646263595"
"Liow_et_al_2001","Invertebrates","Diversity",1999,30,"0.352768689"
"Liow_et_al_2001","Invertebrates","Diversity",1999,30,"0.370721391"
"Liow_et_al_2001","Invertebrates","Diversity",1999,70,"0.045056684"
"Liow_et_al_2001","Invertebrates","Diversity",1999,70,"0.005076153"
"Liow_et_al_2001","Invertebrates","Diversity",1999,30,"0.586135137"
"Liow_et_al_2001","Invertebrates","Diversity",1999,70,"0.024451096"
"Liow_et_al_2001","Invertebrates","Richness",1999,70,"0.656779536"
"Liow_et_al_2001","Invertebrates","Richness",1999,30,"0.30538165"
"Liow_et_al_2001","Invertebrates","Richness",1999,30,"0.543486406"
"Liow_et_al_2001","Invertebrates","Richness",1999,70,"0.14669438"
"Marin-Spiotta_et_al_2007","Plant","Abundance",2005,80,"0.227883918"
"Marin-Spiotta_et_al_2007","Plant","Abundance",2005,60,"0.150131506"
"Marin-Spiotta_et_al_2007","Plant","Abundance",2005,25,"0.021896736"
"Marin-Spiotta_et_al_2007","Plant","Abundance",2005,10,"-2.1864833360000002"
"Marin-Spiotta_et_al_2007","Plant","Diversity",2005,80,"-0.041964199"
"Marin-Spiotta_et_al_2007","Plant","Diversity",2005,60,"-0.339215723"
"Marin-Spiotta_et_al_2007","Plant","Diversity",2005,25,"-0.783401669"
"Marin-Spiotta_et_al_2007","Plant","Diversity",2005,10,"-0.919721267"
"Marin-Spiotta_et_al_2007","Plant","Richness",2005,80,"0.042559614"
"Marin-Spiotta_et_al_2007","Plant","Richness",2005,60,"-0.191055237"
"Marin-Spiotta_et_al_2007","Plant","Richness",2005,25,"-0.570544858"
"Marin-Spiotta_et_al_2007","Plant","Richness",2005,10,"-1.343734747"
"Martin_et_al_2004","Plant","Richness",2000,40,"-0.093818755"
"Martin_et_al_2004","Plant","Richness",2000,40,"0.022989518"
"Martin_et_al_2004","Plant","Richness",2000,40,"-0.117783036"
"Martin_et_al_2004","Plant","Richness",2000,40,"-0.191055237"
"Martin_et_al_2004","Plant","Richness",2000,40,"-0.187211542"
"Martin_et_al_2004","Plant","Richness",2000,40,"-0.057158414"
"Martin_et_al_2004","Plant","Similarity",2000,40,"-0.179048231"
"Martin_et_al_2004","Plant","Similarity",2000,40,"0.198450939"
"Martin_et_al_2004","Plant","Similarity",2000,40,"-0.254234138"
"Martin_et_al_2004","Plant","Similarity",2000,40,"-0.48342665"
"Martin_et_al_2004","Plant","Similarity",2000,40,"-0.310154928"
"Moreno_et_al_2009","Plant","Richness",2000,10,"0.169818699"
"Moreno_et_al_2009","Plant","Richness",2000,10,"0.135449839"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Abundance",2001,3,"-0.13135657"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Abundance",2001,100,"-0.440661106"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Abundance",2001,75,"-0.483458335"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Abundance",2001,3,"0.944461609"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Abundance",2001,45,"-1.089277332"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Abundance",2001,100,"0.459532329"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Abundance",2001,75,"0.352499573"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Abundance",2001,45,"0.169340845"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Abundance",2001,15,"-1.636771759"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Abundance",2001,15,"-0.106684143"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Diversity",2001,75,"0.105360516"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Diversity",2001,75,0
"Negrete-Yankelevich_et_al_2007","Invertebrates","Diversity",2001,100,0
"Negrete-Yankelevich_et_al_2007","Invertebrates","Diversity",2001,3,"0.054067221"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Diversity",2001,100,"0.054067221"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Diversity",2001,45,"-0.054067221"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Diversity",2001,15,"-0.111225635"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Diversity",2001,15,"-0.057158414"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Diversity",2001,45,"-0.057158414"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Diversity",2001,3,"-0.30538165"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Richness",2001,75,"0.046091107"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Richness",2001,100,"0.018692133"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Richness",2001,3,"-0.048318577"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Richness",2001,3,"0.504246653"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Richness",2001,100,"0.399985642"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Richness",2001,75,"0.355034254"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Richness",2001,45,"0.245834963"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Richness",2001,45,"-0.345950981"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Richness",2001,15,"-0.414943852"
"Negrete-Yankelevich_et_al_2007","Invertebrates","Richness",2001,15,"0.12323264"
"O'Dea_&_Whittaker_2007","Birds","Abundance",2003,175,"0.460545734"
"O'Dea_&_Whittaker_2007","Birds","Abundance",2003,175,"0.616919815"
"O'Dea_&_Whittaker_2007","Birds","Abundance",2003,175,"0.816084867"
"O'Dea_&_Whittaker_2007","Birds","Abundance",2003,175,"0.451525881"
"O'Dea_&_Whittaker_2007","Birds","Abundance",2003,175,"-0.806244679"
"O'Dea_&_Whittaker_2007","Birds","Abundance",2003,175,"-0.125600397"
"O'Dea_&_Whittaker_2007","Birds","Abundance",2003,175,"-0.392660836"
"O'Dea_&_Whittaker_2007","Birds","Abundance",2003,175,"1.642227735"
"O'Dea_&_Whittaker_2007","Birds","Abundance",2003,175,"0.769133088"
"O'Dea_&_Whittaker_2007","Birds","Abundance",2003,175,"1.893542164"
"O'Dea_&_Whittaker_2007","Birds","Richness",2003,175,"0.176633069"
"O'Dea_&_Whittaker_2007","Birds","Richness",2003,175,"0.293761119"
"O'Dea_&_Whittaker_2007","Birds","Richness",2003,175,"0.2908022"
"O'Dea_&_Whittaker_2007","Birds","Richness",2003,175,"0.070951736"
"O'Dea_&_Whittaker_2007","Birds","Richness",2003,175,"0.117783036"
"O'Dea_&_Whittaker_2007","Birds","Richness",2003,175,"0.137201122"
"O'Dea_&_Whittaker_2007","Birds","Richness",2003,175,"0.169899037"
"O'Dea_&_Whittaker_2007","Birds","Richness",2003,175,"0.236388778"
"O'Dea_&_Whittaker_2007","Birds","Richness",2003,175,"0.693147181"
"O'Dea_&_Whittaker_2007","Birds","Richness",2003,175,0
"Olander_et_al_1998","Plant","Abundance",1996,5,"1.921731021"
"Olander_et_al_1998","Plant","Abundance",1996,35,"1.743569725"
"Olander_et_al_1998","Plant","Abundance",1996,35,"1.782800843"
"Olander_et_al_1998","Plant","Abundance",1996,35,"0.661504241"
"Olander_et_al_1998","Plant","Abundance",1996,5,"1.034540792"
"Olander_et_al_1998","Plant","Abundance",1996,35,"8.623353387"
"Olander_et_al_1998","Plant","Abundance",1996,5,"-1.932748857"
"Olander_et_al_1998","Plant","Abundance",1996,5,"-1.332054592"
"Olander_et_al_1998","Plant","Abundance",1996,35,"-2.823933668"
"Olander_et_al_1998","Plant","Abundance",1996,35,"-2.890371758"
"Olander_et_al_1998","Plant","Abundance",1996,35,0
"Olander_et_al_1998","Plant","Abundance",1996,5,"4.86753445"
"Olander_et_al_1998","Plant","Abundance",1996,5,"-10.13459927"
"Olander_et_al_1998","Plant","Abundance",1996,5,"-7.244227516"
"Olander_et_al_1998","Plant","Richness",1996,5,"-0.071489752"
"Olander_et_al_1998","Plant","Richness",1996,35,"-0.286851163"
"Olander_et_al_1998","Plant","Richness",1996,5,"1.685423819"
"Olander_et_al_1998","Plant","Richness",1996,35,"1.396114407"
"Olander_et_al_1998","Plant","Richness",1996,35,"-1.842403202"
"Olander_et_al_1998","Plant","Richness",1996,5,"-3.35299528"
"Owiunji_&_Plumpetre_1998","Birds","Abundance",1993,42,"-0.328189057"
"Owiunji_&_Plumpetre_1998","Birds","Abundance",1993,14,"0.302791125"
"Owiunji_&_Plumpetre_1998","Birds","Diversity",1993,42,"0.103668945"
"Owiunji_&_Plumpetre_1998","Birds","Richness",1993,42,"0.065477929"
"Owiunji_&_Plumpetre_1998","Birds","Richness",1993,14,"0.292627332"
"Owiunji_&_Plumpetre_1998","Birds","Similarity",1993,14,0
"Owiunji_&_Plumpetre_1998","Birds","Similarity",1993,42,"-0.012706651"
"Owiunji_&_Plumpetre_1998","Birds","Similarity",1993,42,"-0.003338901"
"Owiunji_&_Plumpetre_1998","Birds","Similarity",1993,14,"-0.01342302"
"Owiunji_&_Plumpetre_1998","Birds","Similarity",1993,42,"0.011299555"
"Owiunji_&_Plumpetre_1998","Birds","Similarity",1993,14,"-0.015267472"
"Pawar_et_al_2004","Herpetofauna","Richness",1998,35,"0.149531734"
"Pawar_et_al_2004","Herpetofauna","Richness",1998,10,"-0.138150338"
"Pawar_et_al_2004","Herpetofauna","Richness",1998,325,"-0.223143551"
"Pawar_et_al_2004","Herpetofauna","Richness",1998,3,"-0.389464767"
"Pawar_et_al_2004","Herpetofauna","Richness",1998,10,"-1.609437912"
"Pawar_et_al_2004","Herpetofauna","Richness",1998,3,"-2.708050201"
"Pawar_et_al_2004","Herpetofauna","Similarity",1998,35,"0.155702271"
"Pawar_et_al_2004","Herpetofauna","Similarity",1998,325,"-0.048790164"
"Pawar_et_al_2004","Herpetofauna","Similarity",1998,10,"-0.478737309"
"Pawar_et_al_2004","Herpetofauna","Similarity",1998,3,"-0.772284501"
"Pawar_et_al_2004","Herpetofauna","Similarity",1998,10,"-1.02223931"
"Pawar_et_al_2004","Herpetofauna","Similarity",1998,3,"-2.091864062"
"Peh_et_al_2005","Birds","Richness",2003,30,"-0.20285888"
"Peh_et_al_2005","Birds","Similarity",2003,30,"-0.092709398"
"Peh_et_al_2005","Birds","Similarity",2003,30,"-0.760588461"
"Purata_1986","Plant","Richness",1984,9,"-0.21007147"
"Purata_1986","Plant","Richness",1984,20,"-0.236388778"
"Purata_1986","Plant","Richness",1984,3,"-0.515917049"
"Raman_&_Johnsingh_1998","Birds","Abundance",1995,100,"-0.025242617"
"Raman_&_Johnsingh_1998","Birds","Abundance",1995,100,"-0.025242617"
"Raman_&_Johnsingh_1998","Birds","Abundance",1995,100,"-0.048715873"
"Raman_&_Johnsingh_1998","Birds","Abundance",1995,100,"-0.048715873"
"Raman_&_Johnsingh_1998","Birds","Diversity",1995,100,"0.07743174"
"Raman_&_Johnsingh_1998","Birds","Diversity",1995,100,"0.07743174"
"Raman_&_Johnsingh_1998","Birds","Diversity",1995,100,"0.021599112"
"Raman_&_Johnsingh_1998","Birds","Diversity",1995,100,"0.021599112"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"-0.040989345"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"-0.040989345"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"-0.040989345"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"-0.040989345"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"0.064538521"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"0.064538521"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"0.143100844"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"0.143100844"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"-0.087011377"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"-0.087011377"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"-0.200670695"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"-0.200670695"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"-0.336472237"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"-0.336472237"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"0.693147181"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"0.693147181"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"-0.510825624"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"-0.510825624"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"-0.287682072"
"Raman_&_Johnsingh_1998","Birds","Richness",1995,100,"-0.287682072"
"Raman_&_Johnsingh_1998","Birds","Similarity",1995,100,"-0.223143551"
"Raman_&_Johnsingh_1998","Birds","Similarity",1995,100,"-0.223143551"
"Raman_&_Johnsingh_1998","Plant","Richness",1995,100,"-0.259511195"
"Raman_&_Johnsingh_1998","Plant","Richness",1995,100,"-0.259511195"
"Raman_&_Johnsingh_1998","Plant","Richness",1995,100,"-0.223143551"
"Raman_&_Johnsingh_1998","Plant","Richness",1995,100,"-0.223143551"
"Raman_2001","Birds","Abundance",1994,100,"-0.037183771"
"Raman_2001","Birds","Abundance",1994,25,"-0.461106885"
"Raman_2001","Birds","Abundance",1994,10,"-0.500806755"
"Raman_2001","Birds","Abundance",1994,3,"-0.646426945"
"Raman_2001","Birds","Diversity",1994,25,"0.025598442"
"Raman_2001","Birds","Diversity",1994,100,"-0.034537763"
"Raman_2001","Birds","Diversity",1994,10,"-0.273789888"
"Raman_2001","Birds","Diversity",1994,3,"-0.350849352"
"Raman_2001","Birds","Richness",1994,100,"-0.036105005"
"Raman_2001","Birds","Richness",1994,25,"-0.112477983"
"Raman_2001","Birds","Richness",1994,10,"-0.333639374"
"Raman_2001","Birds","Richness",1994,3,"-0.44895022"
